,park_name,census_tract
243,Sutton Place Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
244,Crotona Pool,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
245,CPL. Thompson Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
246,Causa Festival Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
247,Terrace Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
248,Abe Lebewohl Triangle,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
249,Graniteville Quarry Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
250,Schomberg Academy Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
251,Prophecy Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
252,Barry Plaza,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
253,Rockaway Community Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
254,Walt L Shemal Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
255,W 87th Street Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
256,Vietnam Veterans Plaza,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
257,Paerdegat Basin Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
258,Jardin De La Familia,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
259,Hoe Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
260,Century Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
261,Grand Ferry Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
262,Federalist Triangle,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
263,Earth People,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
264,Wingate Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
265,Van Cortlandt,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
266,Chiarantano Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
267,Vesuvio Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
268,Red Shed Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
269,Half-Nelson Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
270,Washington Square Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
271,Court Square Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
