,park_name,public_house
911,Tucker Place,
912,Riverside / Fort Washington Link,
913,Fort Hamilton Triangle,
914,Pontiac Playground,1.0
915,Remsen Playground,
916,Jackie Robinson Community Garden,3.0
917,Powell's Cove Park,
918,La Guardia Playground,
919,Ennis Playground,
920,Freedom Triangle,
921,El Jardin Del Paraiso Park,2.0
922,Leif Ericson Park,
923,Juniper Valley Park,
924,Agnes Haywood Playground,
925,SITTING AREA,
926,Saw Mill Playground,1.0
927,Crescent Beach Park,
928,Marx Brothers Playground,1.0
929,Triboro Plaza,2.0
930,P.S. 247,
931,Murray Hill Playground,
932,Brooklyn Academy Of Music,
933,Sitting Area 127 CXXVII,
934,Sherry Park,
935,Rockaway Garage,1.0
936,Vernam Barbadoes Peninsula,1.0
937,Person Triangle,1.0
938,Rienzi Playground,
939,Richman (Echo) Park,
940,Randall's Island Park,
941,Corp Ruoff Sq,
942,Echo Triangle,
943,Mazzei Playground,1.0
944,Bloomingdale Playground,2.0
945,Neptune Playground,
946,Hansborough Recreation Center,
947,Mafera Park,
948,Targee Street Triangle,
949,Marine Park Golf Course,
950,Greenpoint Playground,
951,Rockaway Beach and Boardwalk,
952,Brooklyn Museum,
953,Tall Oak Playground,
954,Corporal Wiltshire Square,
955,Pelham Bay Golf Course,
956,Robert Moses Playground,
957,Di Gilio Playground,
958,Bill Bojangles Robinson Playground,2.0
959,Lt. Clinton L .Whiting Square,
960,Ditmars Park,
961,Queens Farm Park,
962,South Beach Wetlands,
963,Ampere Playground,
964,Steuben Playground,
965,Ocean Breeze Park,
966,Blue Heron Park,
967,Fort Totten Park,
968,Long Pond Park,
969,Model T Senior Citizen's Garden,
970,Derosa-o'boyle Triangle,
971,Arlington Edinboro Playground,
972,Seeley Park,
973,Underwood Park,
974,Rochdale Park,
975,Matthews - Palmer Playground,
976,East River Playground,2.0
977,Real Good Park,
978,Starr Playground,
979,Bergen Beach Playground,
980,Sixteen Lindens Triangle,
981,Planeview Park,
982,Davidson Playground,
983,Elizabeth Stroud Playground,
984,Dyckman House Museum,
985,Father Fagan Park,
986,Steinway Playground,
987,Roberto Clemente Ballfield,2.0
988,Clinton Community Garden,
989,Morningside Park,
990,Davis Playground,
991,Snug Harbor Cultural Center,
992,Mosaic Success Garden,
993,14 Honey Locusts Park,
