PERIOD,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
2014-q3,lincoln terrace / arthur s. somers park,BROOKLYN     ,17.14,ONE ACRE OR LARGER,0,0,0,1,0,2,0,3
2014-q3,john golden park,QUEENS       ,17,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,bayview terrace park,STATEN ISLAND,16.944,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,jones woods park,STATEN ISLAND,16.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,francis lewis park,QUEENS       ,16.831,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
2014-q3,leif ericson park,BROOKLYN     ,16.8,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,eibs pond park,STATEN ISLAND,16.505,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,railroad park queens,QUEENS       ,16.439,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,breukelen ballfields,BROOKLYN     ,16.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,franz sigel park,BRONX        ,15.99,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,alice austen park,STATEN ISLAND,15.524,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,thomas jefferson park,MANHATTAN    ,15.524,ONE ACRE OR LARGER,0,0,3,3,0,3,0,9
2014-q3,mill pond park,BRONX        ,15.496,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,sherman creek,MANHATTAN    ,15.383,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,harris park,BRONX        ,15.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,goodhue,STATEN ISLAND,15.064,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,mullaly park,BRONX        ,15.049,ONE ACRE OR LARGER,0,0,2,3,0,1,0,6
2014-q3,tremont park,BRONX        ,15,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,carl schurz park,MANHATTAN    ,14.938,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,grand army plaza brooklyn,BROOKLYN     ,14.257,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,von briesen park,STATEN ISLAND,13.938,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,motor parkway,QUEENS       ,13.894,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,unnamed park on beach channel drive & beach 116th street to beach 108th street,QUEENS       ,13.826,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,beach 17 playground,QUEENS       ,13.75,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,tudor park,QUEENS       ,13.543,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,aqueduct walk,BRONX        ,13.533,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,father macris park,STATEN ISLAND,13.469,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,starlight park,BRONX        ,12.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,jackie robinson park manhattan,MANHATTAN    ,12.772,ONE ACRE OR LARGER,0,0,0,1,0,1,0,2
2014-q3,brooklyn museum,BROOKLYN     ,12.66,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,beach channel park,QUEENS       ,12.624,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,greenbelt native plant center,STATEN ISLAND,12.247,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,bowne park,QUEENS       ,11.788,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
2014-q3,seton park,BRONX        ,11.689,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,rufus king park,QUEENS       ,11.5,ONE ACRE OR LARGER,0,0,2,2,0,1,0,5
2014-q3,frank golden park,QUEENS       ,11.422,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,st. james park,BRONX        ,11.39,ONE ACRE OR LARGER,0,0,2,3,0,1,0,6
2014-q3,richmond terrace wetlands,STATEN ISLAND,11.193,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,barretto point park,BRONX        ,11.161,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,st. albans park,QUEENS       ,10.79,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,gemini fields,QUEENS       ,10.761,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,givans creek woods,BRONX        ,10.735,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,betsy head park,BROOKLYN     ,10.555,ONE ACRE OR LARGER,0,0,1,0,1,0,0,2
2014-q3,tompkins square park,MANHATTAN    ,10.502,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2
2014-q3,cpl. thompson park,STATEN ISLAND,10.5,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,commodore barry park,BROOKLYN     ,10.391,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
2014-q3,cadman plaza park,BROOKLYN     ,10.384,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
2014-q3,broadway malls,MANHATTAN    ,10.242,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
2014-q3,steeplechase park,BROOKLYN     ,10.01,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,hunter's point south park,QUEENS       ,10,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
2014-q3,unnamed park on richmond terrace,STATEN ISLAND,9.934,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,hybrid oak woods park,STATEN ISLAND,9.763,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,washington square park,MANHATTAN    ,9.749,ONE ACRE OR LARGER,0,0,0,0,0,3,0,3
2014-q3,bryant park,MANHATTAN    ,9.603,ONE ACRE OR LARGER,0,0,0,0,0,6,0,6
2014-q3,rockaway freeway,QUEENS       ,9.404,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,bicentennial veterans memorial park,BRONX        ,9.395,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,sunset cove park,QUEENS       ,9.375,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,st. john's recreation center,BROOKLYN     ,9.339,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,linden park,BROOKLYN     ,9.322,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
2014-q3,haffen park,BRONX        ,9.238,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
2014-q3,allison pond park,STATEN ISLAND,9.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,graniteville swamp park,STATEN ISLAND,9.187,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,tottenville shore park,STATEN ISLAND,9.181,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,captain tilly park,QUEENS       ,9.16,ONE ACRE OR LARGER,0,0,1,1,0,0,0,2
2014-q3,harvey park,QUEENS       ,9.154,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,msgr. mcgolrick park,BROOKLYN     ,9.134,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,bushwick inlet park,BROOKLYN     ,9.01,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
2014-q3,henry hudson park,BRONX        ,8.972,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,frank principe park,QUEENS       ,8.899,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,castle hill park,BRONX        ,8.834,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,rochdale park,QUEENS       ,8.833,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
2014-q3,abe stark skating rink,BROOKLYN     ,8.807,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,city hall park,MANHATTAN    ,8.8,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
