,park_name,bus_act_count
1625,Greenstreet,229
1626,Greenstreet,229
1627,Greenstreet,229
1628,Greenstreet,229
1629,Greenstreet,229
1630,Greenstreet,229
1631,Greenstreet,229
1632,Greenstreet,229
1633,Greenstreet,229
1634,Greenstreet,229
1635,Greenstreet,229
1636,Greenstreet,229
1637,Greenstreet,229
1638,Greenstreet,229
1639,Greenstreet,229
1640,Greenstreet,229
1641,Greenstreet,229
1642,Greenstreet,229
1643,Greenstreet,229
1644,Greenstreet,229
1645,Greenstreet,229
1646,Greenstreet,229
1647,Greenstreet,229
1648,Greenstreet,229
1649,Greenstreet,229
1650,Greenstreet,229
1651,Greenstreet,229
1652,Greenstreet,229
1653,Greenstreet,229
1654,Greenstreet,229
1655,Greenstreet,229
1656,Greenstreet,229
1657,Greenstreet,229
1658,Greenstreet,229
1659,Greenstreet,229
1660,Greenstreet,229
1661,Greenstreet,229
1662,Greenstreet,229
1663,Greenstreet,229
1664,Greenstreet,229
1665,Greenstreet,229
1666,Greenstreet,229
1667,Greenstreet,229
1668,Greenstreet,229
1669,Greenstreet,229
1670,Greenstreet,229
1671,Greenstreet,229
1672,Greenstreet,229
1673,Greenstreet,229
1674,Greenstreet,229
1675,Greenstreet,229
1676,Greenstreet,229
1677,Greenstreet,229
1678,Greenstreet,229
1679,Greenstreet,229
1680,Greenstreet,229
1681,Greenstreet,229
1682,Greenstreet,229
1683,Greenstreet,229
1684,Greenstreet,229
1685,Greenstreet,229
1686,Greenstreet,229
1687,Greenstreet,229
1688,Greenstreet,229
1689,Greenstreet,229
1690,Greenstreet,229
1691,Greenstreet,229
1692,Greenstreet,229
1693,Greenstreet,229
1694,Greenstreet,229
1695,Greenstreet,229
1696,Greenstreet,229
1697,Greenstreet,229
1698,Greenstreet,229
1699,Greenstreet,229
1700,Greenstreet,229
1701,Greenstreet,229
1702,Greenstreet,229
1703,Greenstreet,229
1704,Greenstreet,229
1705,Greenstreet,229
1706,Greenstreet,229
1707,Greenstreet,229
1708,Greenstreet,229
1709,Greenstreet,229
1710,Greenstreet,229
1711,Greenstreet,229
1712,Greenstreet,229
1713,Greenstreet,229
1714,Greenstreet,229
1715,Greenstreet,229
1716,Greenstreet,229
1717,Greenstreet,229
1718,Greenstreet,229
1719,Greenstreet,229
1720,Greenstreet,229
1721,Greenstreet,229
1722,Greenstreet,229
1723,Greenstreet,229
1724,Greenstreet,229
1725,Greenstreet,229
1726,Greenstreet,229
1727,Greenstreet,229
1728,Greenstreet,229
1729,Greenstreet,229
1730,Greenstreet,229
1731,Greenstreet,229
1732,Greenstreet,229
1733,Greenstreet,229
1734,Greenstreet,229
1735,Greenstreet,229
1736,Greenstreet,229
1737,Greenstreet,229
1738,Greenstreet,229
1739,Greenstreet,229
1740,Greenstreet,229
1741,Greenstreet,229
1742,Greenstreet,229
1743,Greenstreet,229
1744,Greenstreet,229
1745,Greenstreet,229
1746,Greenstreet,229
1747,Greenstreet,229
1748,Greenstreet,229
1749,Greenstreet,229
1750,Greenstreet,229
1751,Greenstreet,229
1752,Greenstreet,229
1753,Greenstreet,229
1754,Greenstreet,229
1755,Greenstreet,229
1756,Greenstreet,229
1757,Greenstreet,229
1758,Greenstreet,229
1759,Greenstreet,229
1760,Greenstreet,229
1761,Greenstreet,229
1762,Greenstreet,229
1763,Greenstreet,229
1764,Greenstreet,229
1765,Greenstreet,229
1766,Greenstreet,229
1767,Greenstreet,229
1768,Greenstreet,229
1769,Greenstreet,229
1770,Greenstreet,229
1771,Greenstreet,229
1772,Greenstreet,229
1773,Greenstreet,229
1774,Greenstreet,229
1775,Greenstreet,229
1776,Greenstreet,229
1777,Greenstreet,229
1778,Greenstreet,229
1779,Greenstreet,229
1780,Greenstreet,229
1781,Greenstreet,229
1782,Greenstreet,229
1783,Greenstreet,229
1784,Greenstreet,229
1785,Greenstreet,229
1786,Greenstreet,229
1787,Greenstreet,229
1788,Greenstreet,229
1789,Greenstreet,229
1790,Greenstreet,229
1791,Greenstreet,229
1792,Greenstreet,229
1793,Greenstreet,229
1794,Greenstreet,229
1795,Greenstreet,229
1796,Greenstreet,229
1797,Greenstreet,229
1798,Greenstreet,229
1799,Greenstreet,229
1800,Greenstreet,229
1801,Greenstreet,229
1802,Greenstreet,229
1803,Greenstreet,229
1804,Greenstreet,229
1805,Greenstreet,229
1806,Greenstreet,229
1807,Greenstreet,229
1808,Greenstreet,229
1809,Greenstreet,229
1810,Greenstreet,229
1811,Greenstreet,229
1812,Greenstreet,229
1813,Greenstreet,229
1814,Greenstreet,229
1815,Greenstreet,229
1816,Greenstreet,229
1817,Greenstreet,229
1818,Greenstreet,229
1819,Greenstreet,229
1820,Greenstreet,229
1821,Greenstreet,229
1822,Greenstreet,229
1823,Greenstreet,229
1824,Greenstreet,229
1825,Greenstreet,229
1826,Greenstreet,229
1827,Greenstreet,229
1828,Greenstreet,229
1829,Greenstreet,229
1830,Greenstreet,229
1831,Greenstreet,229
1832,Greenstreet,229
1833,Greenstreet,229
1834,Greenstreet,229
1835,Greenstreet,229
1836,Greenstreet,229
1837,Greenstreet,229
1838,Greenstreet,229
1839,Greenstreet,229
1840,Greenstreet,229
1841,Greenstreet,229
1842,Greenstreet,229
1843,Greenstreet,229
1844,Greenstreet,229
1845,Greenstreet,229
1846,Greenstreet,229
1847,Greenstreet,229
1848,Greenstreet,229
1849,Greenstreet,229
1850,Greenstreet,229
1851,Greenstreet,229
1852,Greenstreet,229
1853,Greenstreet,229
1854,Greenstreet,229
1855,Greenstreet,229
1856,Greenstreet,229
1857,Greenstreet,229
1858,Greenstreet,229
1859,Greenstreet,229
1860,Greenstreet,229
1861,Greenstreet,229
1862,Greenstreet,229
