,park_name,census_tract,ct,household,median_income
1205,Twenty-six Courts & Bath Courts,"1400000US36005050400,",['1400000US36005050400'],18,
1206,Dutch Kills Playground,"1400000US36081003300,",['1400000US36081003300'],1103,54025.0
1207,Graniteville Swamp Park,"1400000US36085032300,",['1400000US36085032300'],495,56406.0
1208,Mott Playground,"1400000US36005017500,",['1400000US36005017500'],2452,22000.0
1209,Midland Playground,"1400000US36085011202,",['1400000US36085011202'],1971,74964.0
1210,Spuyten Duyvil Shorefront Park,"1400000US36005029302,1400000US36005029301,","['1400000US36005029302', '1400000US36005029301']",3447,98370.0
1211,East Parade Grounds,"1400000US36047017700,",['1400000US36047017700'],0,
1212,CS 134 Community Improvement Garden,"1400000US36005015300,",['1400000US36005015300'],1472,19630.0
1213,Alben Triangle,"1400000US36047022200,",['1400000US36047022200'],1127,35094.0
1214,Flood Triangle,"1400000US36005038700,",['1400000US36005038700'],1176,19362.0
1215,Corona Golf Playground,"1400000US36081041500,",['1400000US36081041500'],1048,40345.0
1216,Hilton Holiday Gardens,"1400000US36081079200,",['1400000US36081079200'],753,60625.0
1217,Hybrid Oak Woods Park,"1400000US36085024402,",['1400000US36085024402'],1500,75167.0
1218,Marcy Park South,"1400000US36047052900,",['1400000US36047052900'],961,31962.0
1219,Saratoga Park,"1400000US36047037700,",['1400000US36047037700'],1528,40272.0
1220,Collect Pond Park,"1400000US36061003100,",['1400000US36061003100'],730,183500.0
1221,Fort Washington Park Zone 1,"1400000US36061024700,",['1400000US36061024700'],2444,40559.0
1222,St. Luke's Park,"1400000US36005002701,",['1400000US36005002701'],1102,20153.0
1223,Lott Park,"1400000US36047079400,",['1400000US36047079400'],628,45227.0
1224,Gorman Park,"1400000US36061027900,",['1400000US36061027900'],3924,48242.0
1225,D'Onofrio Square,"1400000US36005037800,",['1400000US36005037800'],1057,35625.0
1226,Sherman Creek,"1400000US36061029900,1400000US36061031100,","['1400000US36061029900', '1400000US36061031100']",1464,23661.0
1227,Westwood Park,"1400000US36085018902,",['1400000US36085018902'],1755,67813.0
1228,Triangle,"1400000US36081014000,1400000US36005014100,1400000US36005018500,1400000US36047111800,1400000US36047068600,","['1400000US36081014000', '1400000US36005014100', '1400000US36005018500', '1400000US36047111800', '1400000US36047068600']",7424,42202.0
1229,P.S. 58,"1400000US36085027702,1400000US36081049302,","['1400000US36085027702', '1400000US36081049302']",3733,63016.0
1230,P.S. 56,"1400000US36085020801,",['1400000US36085020801'],3231,75453.0
1231,Valentino Pier,"1400000US36047005300,",['1400000US36047005300'],937,72841.0
1232,P.S. 54,"1400000US36085027302,",['1400000US36085027302'],1244,91023.0
1233,P.S. 53,"1400000US36047112600,",['1400000US36047112600'],1280,40323.0
