,park_name,census_tract
429,Alley Pond Park,"[u'1400000US36081138502', u'1400000US36081138501', u'1400000US36081129104', u'1400000US36081150701', u'1400000US36081137700', u'1400000US36081148300', u'1400000US36081147900']"
430,Father Fagan Square,[u'1400000US36061003700']
431,P.S. 299,[u'1400000US36047039900']
432,St. Vartan Park,[u'1400000US36061007800']
433,Andrew Haswell Green Park,[u'1400000US36061010602']
434,Claremont Neighborhood Garden,[u'1400000US36005017701']
435,Luther Gulick Playground,[u'1400000US36061001200']
436,Herald Square,[u'1400000US36061010900']
437,Stanton St Courts,[u'1400000US36061003601']
438,The High Line,"[u'1400000US36061009900', u'1400000US36061008300', u'1400000US36061007900']"
439,Bkln Bears Rockwell Pl Garden,[u'1400000US36047003300']
440,P.S. 340,[u'1400000US36005040900']
441,Dr. Charles R. Drew Park,[u'1400000US36081018800']
442,Last Chance Pond Park,[u'1400000US36085011401']
443,Mirabal Sisters Community Park,[u'1400000US36061024900']
444,Willowbrook Parkway,"[u'1400000US36085027900', u'1400000US36085018100', u'1400000US36085013204', u'1400000US36085013800', u'1400000US36085027302']"
445,P.S. 155 Playground,[u'1400000US36061018800']
446,Marcy Green North,[u'1400000US36047052700']
447,Berry Playground,[u'1400000US36047055100']
448,Harding Park,[u'1400000US36005000200']
449,Electric Playground,[u'1400000US36081122701']
450,Linnaeus Park,[u'1400000US36081138501']
451,Aesop Playground,[u'1400000US36085024401']
452,P.s. 60 - Staten Island,[u'1400000US36085029104']
453,Highbridge Park - Zone 2,[u'1400000US36061031100']
454,Booker T. Washington Playground,[u'1400000US36061019300']
455,Vamos Sembrar,[u'1400000US36061003400']
456,E End Community Garden,[u'1400000US36047115200']
457,Highbridge Park - Zone 4,[u'1400000US36061031100']
458,Playground Twenty One,[u'1400000US36081101700']
459,Galileo Playground,[u'1400000US36005021502']
460,Highbridge Park - Zone 8,[u'1400000US36061031100']
461,Cooper St Block Buster Bl Association,[u'1400000US36047040300']
462,Ponderosa Garden,[u'1400000US36047097400']
