,PERIOD,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,CRIME_TOT,Street_light,Drinking,Drugs,311_Total
167,2014-q3,motor parkway,QUEENS       ,13.894,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,11,0,0,11
168,2014-q3,unnamed park on beach channel drive & beach 116th street to beach 108th street,QUEENS       ,13.826,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
169,2014-q3,beach 17 playground,QUEENS       ,13.75,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,3,0,0,3
170,2014-q3,tudor park,QUEENS       ,13.543,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,3,0,0,3
171,2014-q3,aqueduct walk,BRONX        ,13.533,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,6,1,0,7
172,2014-q3,father macris park,STATEN ISLAND,13.469,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
173,2014-q3,starlight park,BRONX        ,12.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,1,0,0,1
174,2014-q3,jackie robinson park manhattan,MANHATTAN    ,12.772,ONE ACRE OR LARGER,0,0,0,1,0,1,0,2,0,0,0,0
175,2014-q3,brooklyn museum,BROOKLYN     ,12.66,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2,0,0,2
176,2014-q3,beach channel park,QUEENS       ,12.624,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,9,0,0,9
177,2014-q3,greenbelt native plant center,STATEN ISLAND,12.247,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2,0,0,2
178,2014-q3,bowne park,QUEENS       ,11.788,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1,1,0,0,1
179,2014-q3,seton park,BRONX        ,11.689,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
180,2014-q3,rufus king park,QUEENS       ,11.5,ONE ACRE OR LARGER,0,0,2,2,0,1,0,5,6,0,0,6
181,2014-q3,frank golden park,QUEENS       ,11.422,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
182,2014-q3,st. james park,BRONX        ,11.39,ONE ACRE OR LARGER,0,0,2,3,0,1,0,6,1,0,0,1
183,2014-q3,richmond terrace wetlands,STATEN ISLAND,11.193,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
184,2014-q3,barretto point park,BRONX        ,11.161,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2,0,0,2
185,2014-q3,st. albans park,QUEENS       ,10.79,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2,0,0,2
186,2014-q3,gemini fields,QUEENS       ,10.761,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,6,0,0,6
187,2014-q3,givans creek woods,BRONX        ,10.735,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,4,0,0,4
188,2014-q3,betsy head park,BROOKLYN     ,10.555,ONE ACRE OR LARGER,0,0,1,0,1,0,0,2,13,0,0,13
189,2014-q3,tompkins square park,MANHATTAN    ,10.502,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2,0,1,0,1
190,2014-q3,cpl. thompson park,STATEN ISLAND,10.5,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,3,0,0,3
191,2014-q3,commodore barry park,BROOKLYN     ,10.391,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,6,1,0,7
192,2014-q3,cadman plaza park,BROOKLYN     ,10.384,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,12,0,0,12
193,2014-q3,broadway malls,MANHATTAN    ,10.242,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,9,3,0,12
194,2014-q3,steeplechase park,BROOKLYN     ,10.01,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
195,2014-q3,hunter's point south park,QUEENS       ,10.0,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,0,0,0,0
196,2014-q3,unnamed park on richmond terrace,STATEN ISLAND,9.934,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
197,2014-q3,hybrid oak woods park,STATEN ISLAND,9.763,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
198,2014-q3,washington square park,MANHATTAN    ,9.749,ONE ACRE OR LARGER,0,0,0,0,0,3,0,3,6,0,0,6
199,2014-q3,bryant park,MANHATTAN    ,9.603,ONE ACRE OR LARGER,0,0,0,0,0,6,0,6,0,0,0,0
200,2014-q3,rockaway freeway,QUEENS       ,9.404,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,59,0,0,59
